Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
										5.156E+2	3.769E-5		
										5.160E+2	3.769E-5		
										5.163E+2	2.301E-5		
										5.167E+2	3.377E-5		
										5.170E+2	2.301E-5		
										5.174E+2	3.916E-5		
										5.177E+2	1.811E-5		
										5.181E+2	1.224E-5		
										5.184E+2	3.720E-5		
										5.188E+2	4.356E-5		
										5.191E+2	2.203E-5		
										5.195E+2	5.335E-5		
										5.198E+2	3.720E-5		
										5.202E+2	2.203E-5		
										5.205E+2	3.916E-5		
										5.209E+2	4.209E-5		
										5.212E+2	4.356E-5		
										5.216E+2	1.566E-5		
										5.219E+2	2.154E-5		
										5.223E+2	2.496E-5		
										5.226E+2	4.699E-5		
										5.230E+2	6.657E-5		
										5.233E+2	3.230E-5		
										5.237E+2	3.377E-5		
										5.240E+2	3.133E-5		
										5.244E+2	2.839E-5		
										5.247E+2	2.545E-5		
										5.251E+2	2.839E-5		
										5.254E+2	1.371E-5		
										5.258E+2	4.650E-5		
										5.261E+2	2.203E-5		
										5.265E+2	5.433E-5		
										5.268E+2	4.503E-5		
										5.272E+2	4.748E-5		
										5.275E+2	5.139E-5		
										5.278E+2	4.454E-5		
										5.282E+2	3.916E-5		
										5.285E+2	4.601E-5		
										5.289E+2	2.496E-5		
										5.292E+2	4.650E-5		
										5.296E+2	4.405E-5		
										5.299E+2	5.090E-5		
										5.303E+2	3.182E-5		
										5.306E+2	3.965E-5		
										5.310E+2	1.664E-5		
										5.313E+2	4.895E-5		
										5.317E+2	6.901E-5		
										5.320E+2	4.063E-5		
										5.324E+2	4.405E-5		
										5.327E+2	1.517E-5		
										5.331E+2	3.182E-5		
										5.334E+2	5.531E-5		
										5.338E+2	3.622E-5		
										5.341E+2	4.454E-5		
										5.345E+2	4.454E-5		
										5.348E+2	2.790E-5		
										5.352E+2	1.762E-5		
										5.355E+2	2.398E-5		
										5.358E+2	4.846E-5		
										5.362E+2	5.286E-5		
										5.365E+2	4.699E-5		
										5.369E+2	2.056E-5		
										5.372E+2	4.160E-5		
										5.376E+2	2.888E-5		
										5.379E+2	4.993E-5		
										5.383E+2	1.566E-5		
										5.386E+2	2.594E-5		
