Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
										4.523E+2	1.214E-5		
										4.527E+2	1.753E-5		
										4.530E+2	1.079E-5		
										4.534E+2	5.394E-6		
										4.538E+2	8.094E-6		
										4.541E+2	2.293E-5		
										4.545E+2	1.281E-5		
										4.548E+2	2.091E-5		
										4.552E+2	1.146E-5		
										4.555E+2	8.094E-6		
										4.559E+2	1.079E-5		
										4.562E+2	0.000E+0		
										4.566E+2	1.348E-6		
										4.570E+2	6.745E-6		
										4.573E+2	7.419E-6		
										4.577E+2	5.394E-6		
										4.580E+2	8.768E-6		
										4.584E+2	3.372E-5		
										4.588E+2	1.956E-5		
										4.591E+2	5.193E-5		
										4.595E+2	1.012E-5		
										4.598E+2	1.551E-5		
										4.602E+2	1.484E-5		
										4.605E+2	8.094E-6		
										4.609E+2	1.281E-5		
										4.612E+2	8.094E-6		
										4.616E+2	7.419E-6		
										4.620E+2	2.697E-6		
										4.623E+2	2.023E-5		
										4.627E+2	1.012E-5		
										4.630E+2	1.281E-5		
										4.634E+2	4.519E-5		
										4.637E+2	6.742E-7		
										4.641E+2	1.888E-5		
										4.645E+2	2.428E-5		
										4.648E+2	7.419E-6		
										4.652E+2	2.226E-5		
										4.655E+2	2.563E-5		
										4.659E+2	1.956E-5		
										4.662E+2	1.753E-5		
										4.666E+2	9.442E-6		
										4.669E+2	8.768E-6		
										4.673E+2	1.349E-5		
										4.676E+2	1.618E-5		
										4.680E+2	8.768E-6		
										4.684E+2	7.419E-6		
										4.687E+2	1.956E-5		
										4.691E+2	1.888E-5		
										4.694E+2	1.956E-5		
										4.698E+2	2.697E-6		
										4.701E+2	2.360E-5		
										4.705E+2	1.012E-5		
										4.709E+2	1.416E-5		
										4.712E+2	1.012E-5		
										4.716E+2	2.832E-5		
										4.719E+2	2.091E-5		
										4.723E+2	6.742E-7		
										4.726E+2	6.745E-6		
										4.730E+2	2.023E-5		
										4.733E+2	3.371E-6		
										4.737E+2	6.071E-6		
										4.740E+2	1.348E-6		
										4.744E+2	2.091E-5		
										4.748E+2	1.012E-5		
										4.751E+2	1.349E-5		
										4.755E+2	1.484E-5		
										4.758E+2	3.371E-6		
										4.762E+2	2.765E-5		
										4.765E+2	1.686E-5		
										4.769E+2	6.745E-6		
										4.772E+2	2.630E-5		
										4.776E+2	1.079E-5		
										4.779E+2	1.214E-5		
										4.783E+2	5.394E-6		
										4.786E+2	6.742E-7		
										4.790E+2	1.484E-5		
										4.794E+2	1.146E-5		
										4.797E+2	6.745E-6		
										4.801E+2	9.442E-6		
										4.804E+2	3.574E-5		
										4.808E+2	2.293E-5		
										4.811E+2	2.697E-6		
										4.815E+2	1.821E-5		
										4.818E+2	1.551E-5		
										4.822E+2	2.630E-5		
										4.825E+2	1.484E-5		
										4.829E+2	6.742E-7		
										4.832E+2	3.170E-5		
										4.836E+2	0.000E+0		
										4.840E+2	2.428E-5		
										4.843E+2	1.348E-6		
										4.847E+2	1.281E-5		
										4.850E+2	1.079E-5		
										4.854E+2	1.146E-5		
										4.857E+2	1.146E-5		
										4.861E+2	1.349E-5		
										4.864E+2	2.697E-6		
										4.868E+2	7.419E-6		
										4.871E+2	8.768E-6		
										4.875E+2	2.360E-5		
